datetime,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
01-01,14.32,17.34,16.56,16.5,15.28,15.36,16.21,16.32,15.62,15.73,15.38,15.7,15.34,13.4,15.43,15.45,16.78,15.98,13.73,13.74,15.08,14.12,14.78,15.76,16.97,13.5,16.74,11.71,15.1,15.69,14.38,16.13,16.78,15.66,16.3,15.46,17.13,15.31,15.03,15.85,16.08,16.69,15.74,17.48,16.63,14.95,15.0,15.9,15.48,15.51,18.04,17.31,17.92,17.43,15.04,15.51,15.96,15.77,14.91
01-02,14.59,16.95,16.6,16.34,15.81,15.17,16.06,16.38,15.34,14.85,15.68,15.35,15.16,14.28,15.21,15.32,16.63,16.04,13.9,14.36,16.06,15.0,14.18,16.23,16.9,13.22,15.81,12.0,15.48,16.21,13.94,16.65,17.26,15.03,15.93,15.81,16.9,15.76,13.27,14.91,16.84,16.6,14.58,17.78,15.86,15.8,15.47,14.9,15.63,14.82,18.98,17.27,17.87,17.4,15.05,16.85,15.81,16.13,15.29
01-03,15.01,16.81,15.72,15.07,15.68,14.84,15.8,16.76,14.86,14.77,15.0,15.46,15.04,13.92,14.94,14.44,16.46,15.73,14.02,16.08,16.15,15.22,14.11,16.44,16.55,13.96,14.64,12.33,15.08,16.87,13.58,16.59,16.88,15.32,16.43,15.98,17.62,16.12,15.84,15.0,16.57,16.54,13.9,17.68,15.84,16.66,14.83,15.56,15.92,14.72,18.22,16.9,17.83,16.23,14.82,14.66,15.98,16.11,15.59
01-04,15.62,16.12,14.97,15.56,15.78,14.99,16.29,16.86,14.68,14.95,15.57,15.53,14.82,12.66,14.64,14.51,17.13,15.94,12.76,14.93,16.12,15.24,14.04,16.93,16.81,14.22,13.3,12.6,15.34,16.37,13.22,16.44,16.12,15.1,17.08,15.77,16.86,16.42,16.58,15.0,17.74,16.52,14.2,17.27,15.77,15.13,15.24,14.78,15.44,14.71,17.57,16.98,17.28,15.57,14.39,15.26,16.89,16.0,15.7
01-05,15.48,14.42,14.43,16.3,15.57,15.08,16.26,16.16,14.62,14.93,15.6,15.44,15.14,12.7,14.7,14.73,15.13,16.54,13.32,15.02,15.07,15.84,14.8,17.1,14.5,14.41,13.38,13.18,15.12,16.53,13.74,15.8,15.95,15.55,16.89,15.26,14.66,16.22,16.14,14.1,16.87,16.92,15.02,16.91,15.21,15.12,15.42,14.33,14.86,14.49,16.83,16.63,16.85,15.47,15.05,13.89,18.12,16.25,15.76
01-06,15.86,14.9,15.64,16.73,15.46,15.04,16.91,16.78,15.19,15.13,15.48,15.59,15.64,13.2,14.55,15.36,15.12,16.74,13.2,15.16,15.1,15.22,15.24,16.98,14.94,14.04,13.82,13.42,14.54,15.61,14.72,15.82,16.37,15.64,16.8,15.46,13.08,16.06,14.8,15.5,17.27,16.64,16.06,16.78,15.68,15.51,15.72,14.56,14.27,13.97,15.55,16.89,16.59,14.0,15.4,12.8,18.03,16.35,15.74
01-07,14.8,15.94,16.21,16.76,15.4,15.76,16.21,16.57,15.78,15.07,15.64,15.88,15.1,13.72,14.77,14.44,15.86,16.95,13.18,15.84,15.38,15.72,15.73,17.76,15.5,14.54,14.26,13.36,14.14,15.41,15.28,15.96,16.16,14.12,17.04,15.4,13.51,16.62,14.76,16.07,16.86,16.86,16.32,17.27,16.08,16.63,15.82,14.94,13.07,13.21,15.54,16.85,16.18,13.02,16.45,13.41,18.0,17.26,16.75
01-08,13.98,16.13,17.18,16.07,16.43,15.7,15.96,16.42,16.06,15.24,15.8,15.6,14.67,13.54,15.04,14.68,13.9,16.96,13.52,15.36,14.97,16.06,16.7,16.47,15.63,14.45,14.03,13.8,15.2,15.45,16.22,16.28,15.52,14.55,16.54,14.19,13.7,15.44,14.8,16.45,16.49,16.62,16.34,17.04,16.36,16.9,16.4,15.42,11.53,13.11,15.76,15.84,16.14,12.46,15.64,14.12,17.47,17.21,16.94
01-09,13.43,15.9,16.6,14.5,15.59,15.36,16.27,15.68,16.88,15.36,15.48,15.96,14.94,13.56,14.67,14.49,13.27,16.89,13.04,15.51,15.11,16.68,17.05,16.06,16.2,14.93,15.06,14.1,14.82,15.44,16.48,15.82,16.0,14.34,16.15,14.14,14.02,16.2,13.52,16.44,16.58,15.77,16.29,17.3,16.63,16.22,16.16,14.1,10.78,13.6,15.79,15.42,16.13,13.69,15.36,15.72,17.27,17.29,17.21
01-10,14.32,16.76,16.98,14.86,17.01,14.92,16.05,15.54,15.98,14.82,15.87,15.91,14.5,14.36,14.75,14.6,13.7,17.05,14.8,15.28,14.99,16.73,16.97,16.06,15.16,14.41,15.29,14.27,15.41,15.26,14.43,16.31,15.9,14.36,15.1,14.1,13.51,16.02,13.99,14.41,16.23,14.97,16.19,16.63,16.34,15.77,15.36,14.94,10.92,14.31,15.14,15.46,14.88,13.8,14.94,14.87,17.51,17.81,17.29
